"Location","Host"
"South Africa","Ostrich"
"Zimbabwe","Ostrich"
"Japan,Aichi","Other avian"
"Japan,Aichi","Other avian"
"Japan,Aichi","Other avian"
"Japan,Aichi","Other avian"
"Japan,Aichi","Other avian"
"Korea, Republic of","Other avian"
"Australia,New South Wales","Other avian"
"United States,Delaware","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,New Jersey","Other avian"
"Belgium,Provincie Oost-Vlaanderen,Destelbergen","Other avian"
"United States,New Jersey","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,Texas","Other avian"
"Australia,Victoria","Other avian"
"United States,New Jersey","Other avian"
"United States,Delaware","Other avian"
"United States,New Jersey","Other avian"
"United States,Delaware","Other avian"
"Italy","Other avian"
"Italy","Other avian"
"United States,New York","Other avian"
"United States,New York","Other avian"
"United States,New York","Other avian"
"United States,New York","Other avian"
"United States,New York","Other avian"
"United States,New York","Other avian"
"South Africa","Other avian"
"Netherlands","Other avian"
"United Kingdom","Other avian"
"United Kingdom","Other avian"
"Italy","Other avian"
"United Kingdom","Other avian"
"Singapore","Other avian"
"United States,North Carolina","Other avian"
"Japan,Aichi","Other avian"
"United States,California","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,Delaware","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,New Jersey","Other avian"
"United States,Delaware","Other avian"
"Italy","Other avian"
"Australia,New South Wales","Other avian"
"Italy","Other avian"
"United States,New York","Other avian"
"United Kingdom,Northern Ireland","Other avian"
"United Kingdom","Other avian"
"United Kingdom","Other avian"
"Singapore","Other avian"
"United Kingdom","Other avian"
"United States,Massachusetts","Other mammals"
"United States","Other mammals"
"United States,Massachusetts","Other mammals"
"United States,Minnesota","Pheasant"
"United States,New York","Pheasant"
"Germany,Brandenburg","Sterna"
"Belgium,Provincie West-Vlaanderen","Sterna hirundo"
"Germany","Swan"
"Germany,Brandenburg","Swan"
"Germany,Brandenburg","Swan"
"Japan,Shimane","Swan"
"Korea, Republic of","Swine"
"Belgium,Provincie Antwerpen,Westmalle","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"United States,Oregon","Turkey"
"United States,Oregon","Turkey"
"United States,Oregon","Turkey"
"United States,Oregon","Turkey"
"United Kingdom","Turkey"
"United States,Minnesota","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"United States,North Carolina","Turkey"
"United States,Oregon","Turkey"
"Italy","Turkey"
"United States,New Jersey","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"United States,New York","Turkey"
"Italy","Turkey"
"United States,New York","Turkey"
"Italy","Turkey"
"United States,Minnesota","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"United States,Minnesota","Turkey"
"United States,Minnesota","Turkey"
"Italy","Turkey"
"Chile","Turkey"
"United States,Virginia","Turkey"
"United States,New Jersey","Turkey"
"Germany","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy,Lombardy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"United Kingdom","Turkey"
"United Kingdom,Northern Ireland","Turkey"
"United States,Utah","Turkey"
"United States,Colorado","Turkey"
"Ireland","Turkey"
"United States,Tennessee","Turkey"
"Germany,North Rhine-Westphalia","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Italy","Turkey"
"Israel","Turkey"
"United Kingdom","Turkey"
"United Kingdom","Turkey"
"United States,Montana","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Netherlands","Turkey"
"Netherlands","Turkey"
"Italy","Turkey"
"United States,New Jersey","Turkey"
"United States,New York","Turkey"
"United States,New York","Turkey"
"United States,New York","Turkey"
"United States,New York","Turkey"
"United States,Virginia","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"United States,Minnesota","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"United States,Utah","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"United States,Virginia","Turkey"
"United States,Virginia","Turkey"
"Italy","Turkey"
"Ireland","Turkey"
"Italy","Turkey"
"Italy,Lombardy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"Italy","Turkey"
"United Kingdom","Turkey"
"United States,Pennsylvania","Turkey"
"United States,New York","Turkey"
"Taiwan, Province of China","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,New York","Unknown"
"United States,Pennsylvania","US Quail"
"United States,New Jersey","US Quail"
"United States,New Jersey","US Quail"
"United States,New York","US Quail"
"United States,New York","US Quail"
"United States,New York","US Quail"
"United States,New York","US Quail"
"United States,Arkansas","US Quail"
"United States,New York","US Quail"
"United States","US Quail"
